호기,일자,발전총량(MW),발전최대,발전최소,대기시간,가동시간,유량,산소,측정온도,온도,습도,풍속,NOX,가동시간_multi_hot
6,2023-01-15,19168000.0,815935.0,724078.0,0.0,24.0,202238.88,4.88,90.17,-3.1,78.42,2.15,9.69,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-16,18769510.0,848804.0,678733.0,0.0,24.0,204403.81,4.51,84.88,-7.04,79.25,0.65,12.28,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-16,0.0,0.0,0.0,24.0,0.0,176.56,20.88,0.0,-7.04,79.25,0.65,85.12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-16,18954000.0,852362.0,723860.0,0.0,24.0,204751.78,5.44,90.1,-7.04,79.25,0.65,8.68,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-16,19141000.0,864671.0,724253.0,0.0,24.0,199453.43,4.83,90.97,-7.04,79.25,0.65,8.94,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-17,19499315.0,820551.0,743710.0,0.0,24.0,210551.19,4.38,87.34,-2.13,82.52,0.55,12.48,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-17,0.0,0.0,0.0,24.0,0.0,68.62,20.89,0.0,-2.13,82.52,0.55,80.59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-17,19244000.0,806672.0,760682.0,0.0,24.0,208109.78,5.46,92.43,-2.13,82.52,0.55,9.1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-17,19389000.0,813934.0,750218.0,0.0,24.0,203096.87,4.8,91.31,-2.13,82.52,0.55,9.32,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-18,19451089.0,815897.0,802289.0,0.0,24.0,209569.54,4.37,87.92,-1.65,66.06,0.81,12.26,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-18,0.0,0.0,0.0,24.0,0.0,65.59,20.89,0.05,-1.65,66.06,0.81,91.08,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-18,19312000.0,810942.0,797887.0,0.0,24.0,209556.02,5.53,94.35,-1.65,66.06,0.81,9.6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-18,19482000.0,818408.0,805565.0,0.0,24.0,204540.19,5.09,87.18,-1.65,66.06,0.81,9.9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-19,19459473.0,850885.0,748147.0,0.0,24.0,210518.64,4.35,87.81,4.71,64.63,2.57,12.35,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-19,0.0,0.0,0.0,24.0,0.0,51.29,20.88,0.79,4.71,64.63,2.57,84.61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-19,19177000.0,845524.0,749355.0,0.0,24.0,207888.46,5.52,92.97,4.71,64.63,2.57,9.6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
